2019-03-26 14:25:56,Rabindr88990589,"@ZeeNews @arunjaitley @sudhirchaudhary Sir ,why u think so ?Modi PM will  will get around  400seats Opp parties pro pak, pro terrorist,  pro antinationals  pro casteism ,pro corruption,   support will be main cause of Modi grand victory Besides  his Honesty Nationalism  patriotism development too",0,0,"[[[84.686271, 25.2014], [85.117254, 25.2014], [85.117254, 25.731555], [84.686271, 25.731555]]]","Danapur, India",India
2019-03-26 14:24:41,KarachiPulse021,#Modi denies #MahathirMohamad ‘right’ to fly over #India https://t.co/r9MamEeO6b,0,0,"[[[66.95121, 24.802239], [67.133179, 24.802239], [67.133179, 25.007912], [66.95121, 25.007912]]]","Karachi, Pakistan",Pakistan
2019-03-26 14:23:51,jfIr7uMa4oDxOYQ,"D R CHLIA AJD  of hisar court 
Is #blackspotonjudiciary 
Bjp ruled Harayana Government 
CM Manohar lal Khattar Mis using their political Powers.
We want to change present judiciary system.
We are against this kind of injustice.
Narendar Modi Is Indirectly Responsible For this https://t.co/vXm1Z1b9kQ",2,2,"[[[74.030686, 21.073255], [82.809772, 21.073255], [82.809772, 26.868535], [74.030686, 26.868535]]]","Madhya Pradesh, India",India
2019-03-26 14:18:38,Pranay2270,"@CNBC_Awaaz @Alok_Awaaz Alok ji, 
Modi is leading on both nationalism and development issues.
Election slogans and use of excessive money become immaterial these days.
It's only Modi magic making difference..Without Modi, BJP is a big zero.",0,0,"[[[75.4979969, 26.800561], [75.9970446, 26.800561], [75.9970446, 27.0188054], [75.4979969, 27.0188054]]]","Jaipur, India",India
2019-03-26 14:17:08,Aabhas24,"#mainbhichowkidaar Today I finished signing 2000 copies of #ModiAgain &amp; the @GarudaPrakashan has started dispatching preordered copies. 

Flipkart &amp; Amazon links to buy the book:

For Flipkart: https://t.co/NPiNBolF2O
For amazon: https://t.co/BodPIvYJeC
#VoteKar https://t.co/7Ex0Vzcs4R",22,7,"[[[76.707671, 28.199529], [77.241711, 28.199529], [77.241711, 28.537521], [76.707671, 28.537521]]]","Gurgaon, India",India
2019-03-26 14:15:40,DeveshKumarPat9,"I invite you to join my #Modi11 &amp; support PM @NarendraModi in coming General Elections. Visit https://t.co/U5Ubv6LwGU to join &amp; help shape #NewIndia. 1 se banenge 11, Layenge Modi Dobara! via @JoinModi11 https://t.co/U5Ubv6LwGU #Modi11 #NewIndia via @JoinModi11",0,0,"[[[79.138936, 28.210856], [79.608334, 28.210856], [79.608334, 28.601237], [79.138936, 28.601237]]]","Bareilly, India",India
2019-03-26 14:13:07,Ramesh_Dhaka_,"D R CHLIA AJD  of hisar court 
Is #blackspotonjudiciary 
Bjp ruled Harayana Government 
CM Manohar lal Khattar Mis using their political Powers.
We want to change present judiciary system.
We are against this kind of injustice.
Narendar Modi Is Indirectly Responsible For this https://t.co/fNkgxutU6b",0,0,"[[[74.474584, 27.650638], [77.605106, 27.650638], [77.605106, 30.926706], [74.474584, 30.926706]]]","Haryana, India",India
2019-03-26 14:12:50,S10raghav,"@Tejasvi_Surya Congrats Brother .. Don't let Modi down...

I wish I could contribute by joining Youth team...",0,0,"[[[77.12378, 16.740951], [77.151959, 16.740951], [77.151959, 16.77612], [77.12378, 16.77612]]]","Yadgir, India",India
2019-03-26 14:11:56,SoumyaB_sd,"@JAVED0909 @narendramodi Absolutely. Opposition has no issue, no proposal, no action plan, no leadership. Only one agenda - remove Modi, he is too inconvenient for power brokers. Who cares what it is going to cost the country &amp; society!",0,0,"[[[88.094457, 22.269493], [88.610027, 22.269493], [88.610027, 22.955918], [88.094457, 22.955918]]]","Kolkata, India",India
2019-03-26 14:11:09,karanbandi143,@sanitbahri @vishalskothari @TheVijayMallya @INCIndia @RahulGandhi Hehehe illiterate JDS has nominated..!! JDS &amp; BJP had coalition government in Karnataka..!! Before sharing know the facts..!! If Modi lies can understand has he is illiterate what about literates Indian..!,0,0,"[[[75.0139416, 15.1588276], [75.4587604, 15.1588276], [75.4587604, 15.5041816], [75.0139416, 15.5041816]]]","Hubli, India",India
